i,lyrics
1,"가사
Smooth like butter
Like a criminal undercover
Gon' pop like trouble
Breakin' into your heart like that

Cool shade stunner
Yeah I owe it all to my mother
Hot like summer
Yeah I'm makin' you sweat like that

Break it down

Oh when I look in the mirror
I'll melt your heart into 2
I got that superstar glow so 
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad

Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that

Break it down

Oh when I look in the mirror
I'll melt your heart into 2
I got that superstar glow so 
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Get it, let it roll
Get it, let it roll

No ice on my wrist
I'm that n-ice guy
Got that right body and that right mind
Rollin' up to party got the right vibe
Smooth like butter
Hate us love us

Fresh boy pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like (butter)
Cool shade (stunner)
And you know we don't stop

Hot like (summer)
Ain't no (bummer)
You be like oh my god

We gon' make you rock and you say (yeah)
We gon' make you bounce and you say (yeah)

Hotter?
Sweeter!  
Cooler?
Butter!

Get it, let it roll"
2,"가사
Dun Dun Dance Dun Dun Dance Dun Dun Dance
Just dance Just dance
Dun Dun Dance Dun Dun Dance Dun Dun Dance
Just dance Just dance

유성이 비처럼 쏟아지는 하늘
그 아래 너와 함께 춤추고 싶어
색색의 옷들과 예쁜 액세서리 oh baby
흐르는 저 음악이 내 맘을 설레게 하지

I feel the disco rhythm in my body
다른 아무것도 생각하진 마
yeah 발자국으로 가득한 무대 위에 올라
자유로운 몸짓 그 사랑스런 느낌
저 따분했던 하루와 일상에서 벗어나 oh tonight

Just you and I 지구를 등지고 떠올라
맘껏 crazy crazy crazy 긴 춤을 춰
말리지 마 지금 내 기분은 feel so high
멀리 멀리 멀리 다 눈부셔

I just wanna Dun Dun Dance
Dun Dun Dance Dun Dun Dance
Oh baby give me baby give me baby give me more
날 멈추지 마 love this song

Just wanna Dun Dun Dance
Dun Dun Dance Dun Dun Dance
Just dance Just dance

Shining like a disco ball
빨간 high heels on the road
Got my eyes on you and you got yours
저 태양이 다시 눈뜰 때까지

넌 평범한데 뭔가 달라 왠지 묘한 구석이 있네
난 가려져 있는 게 보여
우린 모두 이상해 조금씩은 yeah
사람을 가장한 낯선 존재들처럼 oh baby

yeah 놀라지 않아 괜찮아 좀 더 가까이 와
다른 시선 따위 다 잊어버려 우리
늘 복잡한 저세상과 기대에서 벗어나 oh tonight

Just you and I 지구를 등지고 떠올라
맘껏 crazy crazy crazy 긴 춤을 춰
말리지 마 지금 내 기분은 feel so high
멀리 멀리 멀리 다 눈부셔

I just wanna Dun Dun Dance
Dun Dun Dance Dun Dun Dance
Oh baby give me baby give me baby give me more
날 멈추지 마 love this song
Just wanna Dun Dun Dance Dun Dun Dance Dun Dun Dance
Just dance Just dance

어차피 작은 점일 뿐야 보석 같은 아이야
몇 발짝 멀리 떨어져서 바라보면 돼
우린 dancing on ﬁre

Just you and I 지구를 등지고 떠올라
맘껏 crazy crazy crazy 긴 춤을 춰
말리지 마 지금 내 기분은 feel so high
멀리 멀리 멀리 다 눈부셔

I just wanna Dun Dun Dance
Dun Dun Dance Dun Dun Dance
Oh baby give me baby give me baby give me more
날 멈추지 마 love this song

Just wanna Dun Dun Dance
Dun Dun Dance Dun Dun Dance
Just dance Just dance"
3,"가사
I'm on the Next Level Yeah
절대적 룰을 지켜
내 손을 놓지 말아
결속은 나의 무기
광야로 걸어가
알아 네 Home ground
위협에 맞서서
제껴라 제껴라 제껴라

상상도 못한 Black out
유혹은 깊고 진해
(Too hot too hot)
맞잡은 손을 놓쳐
난 절대 포기 못해

I'm on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

La la la la la la
La la la la la la
La la la la la la
La la la la la

I see the NU EVO.
적대적인 고난과 슬픔은
널 더 Popping 진화시켜
That's my naevis It's my naevis
You lead, we follow
감정들을 배운 다음
Watch me while I make it out

Watch me while I work it out
Watch me while I make it out
Watch me while I work it out
Work it work it work it out

감당할 수 없는 절망도
내 믿음을 깨지 못해
더 아픈 시련을 맞아도
난 잡은 손을 놓지 않을게 Oh

절대로 뒤를 돌아보지 말아
광야의 것 탐내지 말아
약속이 깨지면
모두 걷잡을 수 없게 돼 
언제부턴가 불안해져 가는 신호
널 파괴하고 말 거야
(We want it)
Come on!
Show me the way to KOSMO Yeah
 
Black Mamba가 만들어낸 환각 퀘스트
aespa, ae를 분리시켜놓길 원해 그래
중심을 잃고 목소리도 잃고 비난받고
사람들과 멀어지는 착각 속에
naevis 우리 ae, ae들을 불러봐
aespa의 Next Level “P.O.S”를 열어봐
이건 REAL WORLD 깨어났어
We against the villain
What's the name?
Black Mamba

결국 난 문을 열어
그 빛은 네겐 Fire
(Too hot too hot)
난 궁금해 미치겠어
이다음에 펼칠 Story
Huh!

I'm on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

I'm on the Next Level
더 강해져 자유롭게
Next Level
난 광야의 내가 아냐
Next Level
야수 같은 나를 느껴
Next Level
제껴라 제껴라 제껴라
Huh!"
4,"가사
그 날을 잊지 못해 babe
날 보며 환히 웃던 너의 미소에
홀린 듯 I'm fall in love
But 너무 쪽팔림에 (난 그저)
한마디 말도 못해 babe 

I wanna you 너의 눈빛은 
날 자꾸 네 곁을 맴돌게 해

Just only you 굳게 닫힌 내 맘이 
어느새 무너져버려 Because of you

온통 너의 생각뿐이야 나도 미치겠어
너무 보고 싶어 매일 매일 매일

자꾸 초라해지잖아 내 모습이
그대여 내게 말해줘 사랑한다고

Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
하루가 멀다 하고 Rolling in the deep 

Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
기다리고 있잖아 Babe Just only you

기다리고 있잖아 Babe Just only you

Hey I just wanna be with you
오늘 밤이 가기 전에
I can't feel you 조금 더 다가와 줘 
Tonight I'm ready for you

You wanna touch me I know
대체 뭘 고민해 빨리 안아
아닌 척 모르는 척 하다가
늦게 놓치고 후회 말아

I wanna you 너의 눈빛은 
날 자꾸 네 곁을 맴돌게 해

Just only you 굳게 닫힌 내 맘이 
어느새 무너져버려 Because of you

온통 너의 생각뿐이야 나도 미치겠어
너무 보고 싶어 매일 매일 매일

자꾸 초라해지잖아 내 모습이
그대여 내게 말해줘 사랑한다고

Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
하루가 멀다 하고 Rolling in the deep 

Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
기다리고 있잖아 Babe Just only you

(Bridge)

이제 와 숨기려 하지 마요
그대여 아닌 척하지 마요
온종일 난 그대 생각에 잠긴 채로
난 이대로 기다리고 있어요

Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
하루가 멀다 하고 Rolling in the deep 

Rollin' Rollin' Rollin' Rollin' 
Rollin' Rollin' Rollin' Rollin' 
기다리고 있잖아 Babe Just only you

기다리고 있잖아 Babe Just only you"
5,"가사
처음이라기엔 너무
길을 이미 다 아는 듯이
우연히라기엔 모두
다 정해진 듯이

우연히 눈을 떠 보니
이 세상에 태어나 있었고
하필 네가 있는 곳이었다
서서히 몸에 배어버린
사소한 습관들이
네게로 가는 길을 
내게 알려줘

처음이라기엔 너무
길을 이미 다 아는 듯이
우연히라기엔 모두
다 정해진 듯이

고통의 사랑도
보통의 이별도
You can make it happen 
You can make it heaven 
우연히라기엔 모두
다 정해진 듯이

만약 내가 그때 그곳을
헤매지 않았더라면 
그날 네가 마음 아픈 
이별을 안 했었더라면 
네 뒤를 따라 걷던 곳
네가 떨어트렸던 꽃 
위태롭던 시간 속
서로를 기다려왔어
운명이라고 하기엔
이를 수 있다 생각해
우연히라고 하기엔
설명이 필요한 것 같아
어쩌면 또 스칠 수 있을지 몰라도
지금이 아니면 안 될 것 같던 그 때로

처음이라기엔 너무
길을 이미 다 아는 듯이
우연히라기엔 모두
다 정해진 듯이

고통의 사랑도
보통의 이별도
You can make it happen 
You can make it heaven 
우연히라기엔 모두
다 정해진 듯이

어쩌면 기억을 지운 채로
하나였던 우린 둘이 되고 
운명이란 작은 점 안에서 
서로를 찾으며 살았는지도

고통의 사랑도
보통의 이별도
You can make it happen 
You can make it heaven 
우연히라기엔 모두
다 정해진 듯이

우연히
서서히
점점 
더 멀어져가 
우연히
천천히
처음
그곳으로 가"
6,"가사
나리는 꽃가루에 눈이 따끔해 (아야)
눈물이 고여도 꾹 참을래
내 마음 한켠 비밀스런 오르골에 넣어두고서
영원히 되감을 순간이니까 

우리 둘의 마지막 페이지를 잘 부탁해
어느 작별이 이보다 완벽할까
Love me only till this spring

오 라일락 꽃이 지는 날 good bye
이런 결말이 어울려 
안녕 꽃잎 같은 안녕
하이얀 우리 봄날의 climax
아 얼마나 기쁜 일이야

Ooh ooh 
Love me only till this spring
봄바람처럼
Ooh ooh 
Love me only till this spring
봄바람처럼

기분이 달아 콧노래 부르네 (랄라)
입꼬리는 살짝 올린 채
어쩜 이렇게 하늘은 더 바람은 또 완벽한 건지
오늘따라 내 모습 맘에 들어

처음 만난 그날처럼 예쁘다고 말해줄래
어느 이별이 이토록 달콤할까
Love resembles misty dream

오 라일락 꽃이 지는 날 good bye
이런 결말이 어울려
안녕 꽃잎 같은 안녕
하이얀 우리 봄날의 climax
아 얼마나 기쁜 일이야

Ooh ooh 
Love resembles misty dream
뜬구름처럼
Ooh ooh 
Love resembles misty dream
뜬구름처럼

너도 언젠가 날 잊게 될까
지금 표정과 오늘의 향기도
단잠 사이에 스쳐간
봄날의 꿈처럼

오 라일락 꽃이 지는 날 good bye
너의 대답이 날 울려
안녕 약속 같은 안녕
하이얀 우리 봄날에 climax
아 얼마나 기쁜 일이야

Ooh ooh 
Love me only untill this spring
봄바람처럼
Ooh ooh 
Love me only untill this spring
봄바람처럼

Ooh ooh 
Love resembles misty dream
뜬구름처럼
Ooh ooh 
Love resembles misty dream
뜬구름처럼
 "
7,"가사
I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Bad-ass bitch)
I get my light right from the source, yeah (Yeah, that’s it)

And I say, oh (Ohh)
The way I breathe you in (In)
It's the texture of your skin
I wanna wrap my arms around you, baby
Never let you go, oh
And I say, oh
There's nothing like your touch
It’s the way you lift me up
Yeah, and I'll be right here with you 'til the end of time

I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Bad-ass bitch)
I get my light right from the source, yeah (Yeah, that's it)

You ain't sure yet
But I'm for ya
All I could want, all I could wish for
Nights alone that we miss more
And days we save as souvenirs
There's no time, I wanna make more time
And give you my whole life
I left my girl, I’m in Mallorca
Hate to leave her, call it torture
Remember when I couldn’t hold her
Left her baggage for Rimowa

I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Bad-ass bitch)
I get my light right from the source, yeah (Yeah, that’s it)

I get the feeling, so I'm sure (Sure)
Hand in my hand because I'm yours, I can't
I can’t pretend, I can't ignore, you're right for me
Don't think you wanna know just where I've been, ohh
Done bein' distracted
The one I need is right in my arms (Oh)
Your kisses taste the sweetest with mine
And I'll be right here with you 'til the end of time

I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Bad-ass bitch)
I get my light right from the source, yeah (Yeah, that's it)
I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Bad-ass bitch)
(I get my light right from the source, yeah, yeah, that's it)
I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Bad-ass bitch)
I get my light right from the source, yeah (Yeah, that's it)
I got my peaches out in Georgia (Oh, yeah, shit)
I get my weed from California (That's that shit)
I took my chick up to the North, yeah (Bad-ass bitch)
I get my light right from the source, yeah (Yeah, that's it)"
8,"가사
넌 운전만 해
계속 운전만 해

왜 이리 된 걸까 우리 사이가 
갑자기 어색해졌단 걸
왜 달라졌을까 웃음이 말라서 
함께 있는 게 불편해졌어

말없이 그냥 걷기만 해요
We just walking down the street
아무런 말도 없이 처음과는 너무 다른 사이
말없이 그냥 먹기만 해요
부쩍 줄어든 대화 속에 What happened to us
침묵이 내려 지금

달리는 차 안에 우린 아무 말 없네  
너는 그렇게 운전만 해 
난 핸드폰 보네 넌 창밖을 보네 
난 너무 답답해 우리 사이는 막막해 Babe
.
We're still in your car (In your car)
계속해서 침묵만 (So quiet) 
Can you break the silence cause I don't want it 
Radio 소리만 이곳에 (이곳에) 
That's so sad 무슨 말 좀 해봐

말없이 그냥 걷기만 해요
We just walking down the street
아무런 말도 없이 처음과는 너무 다른 사이
말없이 그냥 먹기만 해요
부쩍 줄어든 대화 속에 What happened to us
침묵이 내려 지금

달리는 차 안에 우린 아무 말 없네 
너는 그렇게 운전만 해 
난 핸드폰 보네 넌 창밖을 보네 
난 너무 답답해 우리 사이는 막막해 Babe

You know I know We both know 
이 침묵은 깨져야만 해 
너도 나도 다 알면서도 
쉽게 뗄 수 없는 입

달리는 차 안에 우린 아무 말 없네 
너는 그렇게 운전만 해 
난 핸드폰 보네 넌 창밖을 보네 
난 너무 답답해 우리 사이는 막막해 Babe

넌 운전만 해 
계속 운전만 해"
9,"가사
STAYC girls it’s going down
Time is running boy 그건 누구에겐 돈
You know I’m so dope 더는 못 기다려 줘
원래 나는 좀 참을성이 없는 몸
솔직한 게 좋은 걸 But you gotta know
yeah e yeah

달콤하기만 해도 싫어 So check it
매너 좋은 거 착한 거는 나도 구분해 e yeah
순간 반짝할 거면 시작도 않는 걸
Sometimes 내가 생각해도
I think I’m really cool

ASAP 내 반쪽 아니 완전 Copy
나와 똑같아 내 맘 잘 알아줄
ASAP 꼭 닮은 내 Decalcomanie
눈앞에 나타나 줘

ASAP
whoo woo woo woo
ASAP
whoo woo woo woo
눈앞에 눈앞에 나타나 줘

No I’m not picky 가끔 까탈스럽대
It’s ok but I care
콧대 높대 아닌데 Get it
이해하게 될 걸 너만 나타나면
So baby hurry up I’m just waiting on

달콤하기만 해도 싫어 So check it
겉만 그런지 진심인지 나도 구분해 e yeah
금방 타오른다면 쉽게 꺼지는 걸
Sometimes 내가 생각해도
I think I’m really cool

ASAP 내 반쪽 아니 완전 Copy
나와 똑같아 내 맘 잘 알아줄
ASAP 꼭 닮은 내 Decalcomanie
눈앞에 나타나 줘

ASAP
whoo woo woo woo
ASAP
whoo woo woo woo
눈앞에 눈앞에 나타나 줘

실제론 어떤 느낌인 걸까
A beautiful a beautiful love
한 번도 느껴본 적 없는 걸
So where you at 기다리고 있는데
ASAP

ASAP 내 반쪽 아니 완전 Copy
나와 똑같아 내 맘 잘 알아줄
ASAP 꼭 닮은 내 Decalcomanie
눈앞에 나타나 줘

ASAP
Whoo woo woo woo
ASAP
Whoo woo woo woo
눈앞에 눈앞에 나타나 줘"
10,"가사
워우예~ 예~
1 2 Come on R U ready! 3 4 Do it I'm ready! 5 6 Baby are you ready!
지금 나와 어디든 가자 지루한 하루 여기까지만 All stop
작은 가방 운동화 챙겨 자 더 크게 Radio를 높이고
코발트블루 물결 눈부신 바다 (달빛 가득 묻은 작은 섬)
야경이 눈부신 도시는 어때 (함께라면 어디든 좋아 난~)
너와 나 그곳으로 떠나는 거야
상상에 상상에 상상을 더해서 (어머 깜짝야) 눈부셔 눈부셔 눈부셔 이건 뭐
Oh hello new world 두 손 모아 소리치면 푸른 하늘이 내게로 와
(날아가볼래) 상상의 상상의 미래로 가볼까 (바람을 타고) 새로운 눈빛에 가슴이 붐 붐 붐
~
Oh 발견했어 우리들만의 Paradise~ (Oh Paradise~ Yeah~)
흑백영화 같은 하루에 레몬 터지듯 짜릿함이 필요해
지금 당장 널 데려갈게 꿈꿔오던 사진 속 그곳으로
민트 그린 빛 바람 가득한 숲 속 (달콤한 향기의 칵테일)
지도를 벗어나 ticket to the dream (함께라면 어디든 좋아 난)
너와 나 그곳으로 떠나는 거야
상상에 상상에 상상을 더해서 (어머 깜짝야) 눈부셔 눈부셔 눈부셔 이건 뭐
Oh hello new world 두 손 모아 소리치면 푸른 하늘이 내게로 와
(날아가볼래) 상상의 상상의 미래로 가볼까 (바람을 타고) 새로운 눈빛에 가슴이 붐 붐 붐~
Oh 발견했어 우리들만의 Paradise~
너와 나의 비밀스러운 풍경들 언제라도 다시 와 주겠니
은하수 아래 밤새 부른 노래 영원히 잊지 않을 거야~~
이 시간 속에 영원히 네 품에 안기고 싶은 걸 (단둘이 이 순간 잠들고 싶은 걸)
지도엔 없는 이곳을 꼭 기억해줘 (우리들만의 Paradise~ Oh~)
상상에 상상에 상상을 더해서 (어머 깜짝야) 눈부셔 눈부셔 눈부셔 이건 뭐
oh hello new world 처음 만난 세상 속에 나의 가슴이 라 라 라 라
(날아가볼래) 상상의 상상의 미래로 가볼까 (바람을 타고) 새로운 눈빛에 가슴이 붐 붐 붐~
oh 발견했어 우리들만의 Paradise~ (너와 나~ Yeah~)
1 2 Come on R U ready! 3 4 Do it I'm ready! 5 6 Baby are you ready!"
